CTFIPS,Average of DS_PM_pred
48113011500,8.794964481
48113011601,8.75463388
48113011603,8.740642077
48113011604,8.71920765
48113011701,8.741836066
48113011702,8.714734973
48113011801,8.738295082
48113011802,8.755013661
48113011901,8.752300546
48113011902,8.752508197
48113012000,8.775032787
48113012101,8.782057377
48113012102,8.797838798
48113012206,8.823822404
48113012207,8.814248634
48113012208,8.834513661
48113012209,8.840584699
48113012210,8.833396175
48113012211,8.826885246
48113012212,8.829057377
48113012213,8.834027322
48113012301,8.836715847
48113012302,8.831027322
48113012400,8.843967213
48113012501,8.828795082
48113012502,8.841262295
48113012601,8.855314208
48113012603,8.840256831
48113012604,8.837374317
48113012701,8.860101093
48113012702,8.848584699
48113012801,8.872491803
48113012802,8.863672131
48113012900,8.867215847
48113013005,8.889655738
48113013007,8.881103825
48113013008,8.897721311
48113013009,8.899994536
48113013010,8.871218579
48113013011,8.89192623
48113013012,8.887076503
48113013013,8.883437158
48113013101,8.927423497
48113013102,8.912046448
48113013104,8.906128415
48113013106,8.916830601
48113013107,8.913530055
48113013201,8.940702186
48113013202,8.934915301
48113013300,8.932967213
48113013400,8.935532787
48113013500,8.924368852
48113013605,8.99018306
48113013606,8.972844262
48113013607,8.97181694
48113013608,8.950986339
48113013609,8.968513661
48113013610,8.956393443
48113013611,8.990989071
48113013615,8.958980874
48113013617,8.990685792
48113013618,8.991005464
48113013619,8.986937158
48113013620,8.974920765
48113013621,8.980907104
48113013622,8.972896175
48113013624,8.970396175
48113013625,8.969983607
48113013626,8.957538251
48113013627,8.991090164
48113013628,8.971775956
48113013629,8.969459016
48113013630,8.964027322
48113013631,8.960150273
48113013715,8.977724044
48113013716,8.983472678
48113013717,8.980363388
48113013718,8.983846995
48113013719,8.989046448
48113013720,8.990532787
48113013721,8.984822404
48113013722,8.997674863
48113013725,8.984303279
48113013726,8.974412568
48113013727,8.981084699
48113013728,8.967519126
48113013729,8.974090164
48113013804,8.943172131
48113013805,8.958221311
48113013806,8.964040984
48113013807,8.958986339
48113013808,8.974644809
48113013901,8.964877049
48113013902,8.959833333
48113014001,8.94981694
48113014002,8.974795082
48113014119,8.973150273
48113014120,8.983259563
48113014121,8.976562842
48113014123,8.97754918
48113014124,8.969852459
48113014126,8.965502732
48113014128,8.973956284
48113014130,8.970603825
48113014132,8.979560109
48113014134,8.975650273
48113014135,8.969374317
48113014138,8.961442623
48113014139,8.955538251
48113014140,8.958218579
48113014141,8.978502732
48113014142,8.970721311
48113014143,8.960672131
48113014144,8.95539071
48113014145,8.961344262
48113014146,8.958322404
48113014147,8.969614754
48113014148,8.962297814
48113014149,8.966969945
48113014150,8.973909836
48113014151,8.964784153
48113014152,8.963224044
48113014153,8.960371585
48113014154,8.956775956
48113014155,8.977204918
48113014156,8.971939891
48113014157,8.975702186
48113014158,8.961325137
48113014159,8.967702186
48113014160,8.963997268
48113014161,8.96589071
48113014203,8.928125683
48113014204,8.913532787
48113014205,8.93202459
48113014207,8.945797814
48113014208,8.93036612
48113014209,8.931928962
48113014306,8.953538251
48113014308,8.930959016
48113014309,8.958139344
48113014310,8.946437158
48113014313,8.942453552
48113014314,8.940915301
48113014315,8.933371585
48113014316,8.940745902
48113014317,8.930887978
48113014318,8.94245082
48113014319,8.957751366
48113014320,8.959180328
48113014405,8.941010929
48113014406,8.939106557
48113014407,8.955166667
48113014408,8.952855191
48113014409,8.967412568
48113014410,8.955234973
48113014501,8.936057377
48113014502,8.92273224
48113014601,8.920467213
48113014602,8.908081967
48113014603,8.918327869
48113014701,8.907868852
48113014704,8.897199454
48113014903,8.910418033
48113015001,8.910461749
48113015002,8.907680328
48113015101,8.905459016
48113015102,8.912885246
48113015202,8.93360929
48113015205,8.924396175
48113015206,8.923243169
48113015207,8.92660929
48113015208,8.928653005
48113015303,8.961122951
48113015304,8.936502732
48113015305,8.936912568
48113015306,8.932775956
48113015403,8.937505464
48113015404,8.941964481
48113015405,8.949762295
48113015406,8.947180328
48113015500,8.92595082
48113015600,8.922147541
48113015700,8.910289617
48113015900,8.903469945
48113016001,8.922803279
48113016002,8.916931694
48113016100,8.92720765
48113016201,8.913636612
48113016203,8.91165847
48113016204,8.904710383
48113016301,8.893691257
48113016302,8.900797814
48113016406,8.903786885
48113016407,8.898715847
48113016409,8.877185792
48113016410,8.893713115
48113016412,8.86529235
48113016414,8.885319672
48113016415,8.864103825
48113016416,8.839928962
48113016417,8.869147541
48113016418,8.911128415
48113016419,8.900642077
48113016420,8.896027322
48113016421,8.89334153
48113016511,8.820461749
48113016513,8.82718306
48113016516,8.829081967
48113016517,8.816122951
48113016518,8.831218579
48113016519,8.837740437
48113016521,8.863196721
48113016522,8.810754098
48113016524,8.784655738
48113016525,8.788478142
48113016526,8.835448087
48113016527,8.843106557
48113016528,8.853210383
48113016529,8.822327869
48113016530,8.804879781
48113016531,8.820647541
48113016532,8.808849727
48113016533,8.862199454
48113016534,8.84715847
48113016535,8.845349727
48113016536,8.831237705
48113016607,8.816961749
48113016610,8.774650273
48113016615,8.774180328
48113016616,8.770095628
48113016617,8.792532787
48113016618,8.776081967
48113016619,8.77965847
48113016620,8.771439891
48113016621,8.75618306
48113016622,8.740726776
48113016623,8.752289617
48113016624,8.779144809
48113016626,8.787595628
48113016627,8.760863388
48113016628,8.761437158
48113016629,8.797147541
48113016630,8.792193989
48113016631,8.779969945
48113016632,8.76470765
48113016633,8.777789617
48113016634,8.795734973
48113016635,8.814295082
48113016636,8.811942623
48113016637,8.810964481
48113016638,8.803016393
48113016704,8.752601093
48113016706,8.736420765
48113016707,8.75339071
48113016708,8.759737705
48113016709,8.756469945
48113016710,8.76252459
48113016711,8.775314208
48113016802,8.714273224
48113016803,8.726005464
48113016805,8.751363388
48113016806,8.74897541
48113016902,8.715032787
48113016903,8.608448087
48113017005,8.634054645
48113017006,8.53536612
48113017007,8.62581694
48113017008,8.613726776
48113017009,8.652907104
48113017010,8.648874317
48113017101,8.680352459
48113017102,8.672896175
48113017201,8.725330601
48113017203,8.715759563
48113017204,8.69752459
48113017307,8.706994536
48113017308,8.701918033
48113017309,8.678743169
48113017310,8.679557377
48113017311,8.730270492
48113017312,8.715147541
48113017313,8.66270765
48113017314,8.687554645
48113017315,8.696830601
48113017400,8.727827869
48113017500,8.740546448
48113017602,8.777576503
48113017604,8.736983607
48113017605,8.769243169
48113017606,8.758978142
48113017703,8.776666667
48113017704,8.765964481
48113017705,8.762907104
48113017706,8.742945355
48113017805,8.802363388
48113017806,8.820887978
48113017808,8.79318306
48113017811,8.789896175
48113017812,8.804188525
48113017814,8.775259563
48113017815,8.796991803
48113017816,8.805431694
48113017817,8.796251366
48113017818,8.792363388
48113017819,8.803909836
48113017820,8.811636612
48113017900,8.82231694
48113018001,8.832412568
48113018002,8.817412568
48113018105,8.869806011
48113018110,8.828734973
48113018111,8.836382514
48113018120,8.84802459
48113018121,8.851480874
48113018126,8.834032787
48113018127,8.839254098
48113018128,8.810898907
48113018129,8.80957377
48113018130,8.815969945
48113018132,8.781174863
48113018133,8.812325137
48113018134,8.769125683
48113018135,8.768098361
48113018137,8.778972678
48113018138,8.793248634
48113018140,8.812948087
48113018141,8.755084699
48113018142,8.758068306
48113018143,8.797696721
48113018144,8.769210383
48113018145,8.79473224
48113018146,8.810013661
48113018147,8.808617486
48113018148,8.810663934
48113018149,8.78079235
48113018150,8.789467213
48113018151,8.874680328
48113018152,8.877122951
48113018153,8.862986339
48113018154,8.845751366
48113018155,8.812221311
